Security recommendation,SCID
Turn on Firewall in macOS,scid-5007
Secure Microsoft Defender Firewall domain profile,scid-2071
Secure Microsoft Defender firewall private profile,scid-2072
Secure Microsoft Defender Firewall public profile,scid-2073
Turn on Microsoft Defender Firewall,scid-2070
Disable Microsoft Defender Firewall notifications when programs are blocked for Domain profile,scid-43
Disable Microsoft Defender Firewall notifications when programs are blocked for Private profile,scid-46
Disable Microsoft Defender Firewall notifications when programs are blocked for Public profile,scid-49
Prohibit use of Internet Connection Sharing on your DNS domain network,scid-60
Disable 'Network access: Let Everyone permissions apply to anonymous users',scid-55
Restrict anonymous access to named pipes and Shares,scid-64
Set user authentication for remote connections by using Network Level Authentication to 'Enabled',scid-45
Enable 'Microsoft network client: Digitally sign communications (always)',scid-95
Disable SMBv1 client driver,scid-53
Disable Anonymous enumeration of shares,scid-88
Disable 'Insecure guest logons' in SMB,scid-30
Fix unquoted service path for Windows services,scid-3001
Change service executable path to a common protected location,scid-3002
Disallow offline access to shares,scid-4000
Set folder access-based enumeration for shares,scid-4003
Remove share write permission set to 'Everyone',scid-4001
Remove shares from the root folder,scid-4002
Turn on PUA protection in block mode,scid-2013
Turn on Microsoft Defender Antivirus PUA protection in block mode for Linux,scid-6091
Turn on Microsoft Defender Antivirus PUA protection in block mode in macOS,scid-5091
Encrypt all BitLocker-supported drives,scid-2090
Set Microsoft Defender SmartScreen app and file checking to block or warn,scid-2060
Set Microsoft Defender SmartScreen Microsoft Edge site and download checking to block or warn,scid-2061
Secure Home Folders in macOS,scid-5014

