Specific;Desired State;Context;Blocking;Comment
The whole report;All required sections completed;TEMPLATE CONFORMANCE;No;Template is acceptable when required fields are filled
Internal MDR references;Customer-safe wording used;Template hygiene;No;References like “written by an MDR colleague” and “we do not have access” are acceptable
Sentinel workspace status;Workspace status explicitly filled in;Microsoft Defender XDR Sentinel;Conditional;If Status = Not Connected → OK; If Connected → add remark explaining why
Sentinel connection statement;Status aligned with table value;Microsoft Defender XDR Sentinel;Conditional;“DO NOT CONNECT” text must align with actual status and remarks
security.txt section;Customer domain and results filled;Vulnerability reporting;Conditional;If filled in → OK; If empty → Blocking
security.txt internal block;Instruction block removed or resolved;Vulnerability reporting;Conditional;Only blocking if security.txt fields are not filled
Publish date;Actual publish date entered;Document metadata;Yes;[Publish Date] placeholder must be replaced
Company name;Actual company name entered;Document metadata;Yes;[Company] placeholder must be replaced
Version history;At least one finalized version entry;Document control;No;Version 0.1 acceptable when dated
Introduction;In the Products table all products not marked ALL should have filled in Notes ;Document control;Yes;The products that are not marked are not monitored therefore it's important to note why it's not monitored or how many assets are not being monitored
Reviewers section;At least one reviewer listed;Document governance;No;Reviewer name optional but recommended
Distribution list;Stakeholders listed or marked N/A;Document governance;No;Empty table acceptable if agreed
Secure Score section;Actual Secure Score values populated;Microsoft Secure Score;Yes;Empty Secure Score tables are blocking
Entra ID Security Posture;Comments filled where applicable;Identity Protect – Cloud;No;Empty comments acceptable if recommendations are listed
License section;License tables filled or explicitly scoped out;Entra ID Settings;Yes;Empty license tables without explanation are blocking
Conditional Access policies;CA policy table filled;Entra ID Conditional Access;Yes;Empty CA table is blocking
Entra Connect screenshot;Screenshot included;Hybrid Identity;Yes;One of the three mandatory screenshots
Software Inventory screenshot;Screenshot included;TVM – Software Inventory;Yes;One of the three mandatory screenshots
Threat Analytics screenshot;Screenshot included;TVM – Threat Analytics;Yes;One of the three mandatory screenshots
Other screenshots;Screenshots included only where relevant;Visual evidence;No;Only the three listed screenshots are mandatory
MDI Identity posture;Relevant tables filled or scoped out;Identity Protect – On-Prem;No;Internal notes may remain
MDI sensor status;Sensors listed or explicitly stated none present;Identity Protect – On-Prem;No;Empty acceptable if clarified
KRBTGT reset section;Reset dates filled or stated unknown;Active Directory Security;No;Placeholder acceptable with explanation
